Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD075722,CUST3337,JioMart,01:29.5,37,Beverages,282,Good quality products.,4,No,No
ORD080185,CUST5052,JioMart,59:29.5,38,Snacks,113,"Horrible experience, never ordering again.",1,No,Yes
ORD019865,CUST3328,Swiggy Instamart,56:29.5,25,Grocery,273,Good quality products.,4,No,No
ORD076700,CUST3047,JioMart,25:29.5,27,Fruits & Vegetables,333,"Easy to order, loved it!",5,No,No
ORD092992,CUST9411,Blinkit,44:29.5,51,Personal Care,1707,"Very late delivery, not happy.",2,Yes,Yes
ORD076435,CUST3765,Swiggy Instamart,29:29.5,30,Dairy,565,"Fast delivery, great service!",5,No,No
ORD084005,CUST7044,JioMart,10:29.5,49,Fruits & Vegetables,53,"Horrible experience, never ordering again.",1,Yes,Yes
ORD080918,CUST1748,Swiggy Instamart,30:29.5,22,Snacks,363,"Easy to order, loved it!",5,No,No
ORD060768,CUST2385,Blinkit,15:29.5,30,Fruits & Vegetables,660,"Fast delivery, great service!",5,No,No
ORD050075,CUST5645,JioMart,04:29.5,25,Fruits & Vegetables,656,Very satisfied with the service.,5,No,No
ORD027702,CUST2028,JioMart,10:29.5,12,Snacks,391,Delivery person was rude.,2,No,Yes
ORD042142,CUST4450,JioMart,20:29.5,15,Beverages,999,Delivery person was rude.,2,No,Yes
ORD045081,CUST2190,Swiggy Instamart,12:29.5,5,Snacks,459,Wrong item delivered.,1,No,Yes
ORD016639,CUST5665,Swiggy Instamart,07:29.5,24,Beverages,852,Very satisfied with the service.,5,No,No
ORD020425,CUST2340,JioMart,43:29.5,33,Personal Care,487,"Horrible experience, never ordering again.",1,No,Yes
ORD088703,CUST9734,Swiggy Instamart,38:29.5,13,Fruits & Vegetables,352,"Very late delivery, not happy.",2,No,Yes
ORD000150,CUST9727,Blinkit,11:29.5,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes
ORD001762,CUST5012,JioMart,45:29.5,40,Grocery,1477,"Horrible experience, never ordering again.",1,No,Yes
ORD063121,CUST9764,Swiggy Instamart,56:29.5,35,Grocery,1309,Very satisfied with the service.,5,No,No
ORD069162,CUST3911,Swiggy Instamart,26:29.5,14,Dairy,120,"Fast delivery, great service!",5,No,No
ORD064884,CUST2953,Swiggy Instamart,07:29.5,36,Personal Care,1780,Packaging could be better.,3,No,No
ORD002496,CUST9939,Blinkit,56:29.5,31,Dairy,246,"Horrible experience, never ordering again.",1,No,Yes
ORD080297,CUST4657,JioMart,18:29.5,46,Snacks,271,Items missing from order.,2,Yes,Yes
ORD019448,CUST4820,Swiggy Instamart,32:29.5,12,Fruits & Vegetables,86,"Fast delivery, great service!",5,No,No
ORD041332,CUST2889,Blinkit,01:29.5,28,Beverages,980,"Not fresh, disappointed.",2,No,Yes
ORD014889,CUST7110,Blinkit,20:29.5,16,Beverages,943,"Horrible experience, never ordering again.",1,No,Yes
ORD088637,CUST5368,Blinkit,50:29.5,17,Grocery,1258,Delivery person was rude.,2,No,Yes
ORD094893,CUST7624,JioMart,17:29.5,42,Personal Care,1050,Very satisfied with the service.,5,Yes,No
ORD092732,CUST5376,Blinkit,21:29.5,31,Snacks,397,Delivery person was rude.,2,No,Yes
ORD029131,CUST3267,Blinkit,46:29.5,38,Beverages,798,"Easy to order, loved it!",5,No,No
ORD079023,CUST3893,JioMart,26:29.5,33,Snacks,60,"Fast delivery, great service!",5,No,No
ORD084937,CUST6801,Swiggy Instamart,23:29.5,14,Dairy,249,"Easy to order, loved it!",5,No,No
ORD016822,CUST3045,Swiggy Instamart,26:29.5,11,Grocery,288,Good quality products.,4,No,No
ORD036734,CUST5473,JioMart,02:29.5,23,Dairy,764,"Horrible experience, never ordering again.",1,No,Yes
ORD015603,CUST4478,Swiggy Instamart,39:29.5,39,Fruits & Vegetables,684,Very satisfied with the service.,5,No,No
ORD028534,CUST5205,Swiggy Instamart,57:29.5,41,Personal Care,1142,Delivery person was rude.,2,Yes,Yes
ORD069770,CUST3460,Blinkit,56:29.5,5,Snacks,418,"Horrible experience, never ordering again.",1,No,Yes
ORD011406,CUST8429,JioMart,13:29.5,29,Grocery,266,Very satisfied with the service.,5,No,No
ORD096853,CUST8801,Blinkit,36:29.5,23,Beverages,428,Wrong item delivered.,1,No,Yes
ORD016131,CUST5387,Blinkit,13:29.5,22,Grocery,1138,Quick and reliable!,5,No,No
ORD019793,CUST9113,Swiggy Instamart,21:29.5,33,Dairy,593,Excellent experience!,5,No,No
ORD089578,CUST5466,JioMart,12:29.5,26,Grocery,690,Items missing from order.,2,No,Yes
ORD040164,CUST9622,Blinkit,42:29.5,32,Beverages,905,Packaging could be better.,3,No,No
ORD031777,CUST9757,Blinkit,21:29.5,26,Grocery,749,Items missing from order.,2,No,Yes
ORD025331,CUST6798,JioMart,05:29.5,36,Personal Care,1020,"Easy to order, loved it!",5,No,No
ORD079157,CUST8651,Swiggy Instamart,20:29.5,31,Dairy,680,"Not fresh, disappointed.",2,No,Yes
ORD051686,CUST2835,Swiggy Instamart,15:29.5,26,Dairy,652,"Very late delivery, not happy.",2,No,Yes
ORD075499,CUST7883,Swiggy Instamart,19:29.5,13,Personal Care,884,Quick and reliable!,5,No,No
ORD004728,CUST6634,JioMart,45:29.5,30,Beverages,254,Quick and reliable!,5,No,No
ORD085199,CUST8091,JioMart,52:29.5,36,Dairy,731,Quick and reliable!,5,No,No
ORD035796,CUST5557,JioMart,17:29.5,41,Grocery,1107,"Fast delivery, great service!",5,Yes,No
ORD012257,CUST5189,Blinkit,44:29.5,44,Personal Care,225,Quick and reliable!,5,Yes,No
ORD035719,CUST8112,JioMart,38:29.5,38,Beverages,919,Very satisfied with the service.,5,No,No
ORD070552,CUST2085,Blinkit,48:29.5,26,Personal Care,179,Quick and reliable!,5,No,No
ORD054375,CUST5842,Swiggy Instamart,51:29.5,48,Fruits & Vegetables,56,Very satisfied with the service.,5,Yes,No
ORD039692,CUST9690,JioMart,57:29.5,31,Beverages,153,Excellent experience!,5,No,No
ORD093703,CUST3746,Swiggy Instamart,57:29.5,29,Beverages,575,"Very late delivery, not happy.",2,No,Yes
ORD073692,CUST8207,Blinkit,53:29.5,21,Dairy,323,Delivery person was rude.,2,No,Yes
ORD098071,CUST7991,Swiggy Instamart,13:29.5,30,Snacks,315,Delivery person was rude.,2,No,Yes
ORD000576,CUST4266,Blinkit,53:29.5,32,Snacks,284,Items missing from order.,2,No,Yes
ORD084611,CUST6567,Swiggy Instamart,31:29.5,28,Personal Care,283,Very satisfied with the service.,5,No,No
ORD061770,CUST7119,Swiggy Instamart,42:29.5,17,Fruits & Vegetables,299,Packaging could be better.,3,No,No
ORD032261,CUST3050,Swiggy Instamart,41:29.5,46,Grocery,872,"Fast delivery, great service!",5,Yes,No
ORD082200,CUST8095,Swiggy Instamart,33:29.5,36,Beverages,855,Excellent experience!,5,No,No
ORD036291,CUST2261,Blinkit,37:29.5,39,Snacks,390,"Not fresh, disappointed.",2,No,Yes
ORD078450,CUST6378,Blinkit,11:29.5,36,Dairy,184,Excellent experience!,5,No,No
ORD060056,CUST4612,JioMart,41:29.5,20,Personal Care,1396,"Horrible experience, never ordering again.",1,No,Yes
ORD045949,CUST1213,Swiggy Instamart,20:29.5,32,Personal Care,1633,Delivery person was rude.,2,No,Yes
ORD028178,CUST8712,Swiggy Instamart,37:29.5,34,Dairy,669,Very satisfied with the service.,5,No,No
ORD084464,CUST9413,JioMart,53:29.5,13,Fruits & Vegetables,345,Items missing from order.,2,No,Yes
ORD000579,CUST4908,Blinkit,02:29.5,16,Fruits & Vegetables,469,Quick and reliable!,5,No,No
ORD030960,CUST6366,Swiggy Instamart,42:29.5,42,Fruits & Vegetables,438,Very satisfied with the service.,5,Yes,No
ORD064291,CUST6306,Swiggy Instamart,17:29.5,12,Dairy,474,Excellent experience!,5,No,No
ORD014532,CUST6527,JioMart,41:29.5,24,Dairy,118,"Not fresh, disappointed.",2,No,Yes
ORD017934,CUST7971,Blinkit,14:29.5,33,Personal Care,1467,Good quality products.,4,No,No
ORD033609,CUST6593,Swiggy Instamart,52:29.5,18,Dairy,412,"Not fresh, disappointed.",2,No,Yes
ORD049960,CUST9816,JioMart,48:29.5,50,Snacks,407,"Easy to order, loved it!",5,Yes,No
ORD066599,CUST5758,Swiggy Instamart,20:29.5,28,Snacks,274,Wrong item delivered.,1,No,Yes
ORD099090,CUST3088,Blinkit,58:29.5,35,Beverages,683,"Very late delivery, not happy.",2,No,Yes
